ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
000839.SZ,20171130,9.38,4.2818,6.7378,,159.7207,141.9005,5.3995,9.3627,8.1267,391982.6352,391900.7202,249051.8857,3676797.1182,3676028.7555
300274.SZ,20171130,16.44,2.9243,3.5596,,43.0132,23.63,3.4881,3.9664,2.5293,144845.86,105737.508,86865.156,2381265.9384,1738324.6315
600152.SH,20171130,8.41,0.7501,1.1439,,,87.6883,2.5611,6.8772,2.8931,44066.0747,29349.42,19245.875,370595.6882,246828.6222
300049.SZ,20171130,13.22,0.7552,0.9672,,28.7288,29.7892,2.3544,4.2051,3.9429,26305.31,22785.8722,17791.1422,347756.1982,301229.2305
600540.SH,20171130,4.92,0.4332,0.7235,,,,3.7258,2.2061,1.3203,47092.3313,46312.3313,27728.755,231694.27,227856.67
002686.SZ,20171130,12.09,0.3033,0.4193,,44.6963,40.6497,3.6626,5.4272,4.2933,44308.2021,28583.05,20673.95,535686.1634,345569.0745
601311.SH,20171130,13.48,0.7186,1.5346,,22.1919,21.4884,2.1699,1.815,1.5672,84839.575,84839.575,39730.3332,1143637.471,1143637.471
600358.SH,20171130,7.06,0.9698,1.1688,,,,6.5195,30.3949,15.9078,50493.666,43200.0,35844.3894,356485.282,304992.0
300648.SZ,20171130,72.7,2.4182,2.4182,,96.9379,73.9536,9.8891,21.7189,17.5489,6770.0,1700.0,1700.0,492179.0,123590.0
600616.SH,20171130,9.67,0.2006,0.308,,73.948,81.801,2.4615,4.6274,5.0153,51461.9192,51461.9192,33511.7397,497636.7587,497636.7587
000889.SZ,20171130,13.82,2.3668,4.6882,,39.0702,38.2479,3.2928,4.7357,4.4827,62182.6786,44533.849,22482.7563,859364.6183,615457.7932
300570.SZ,20171130,20.28,9.0434,9.0434,,46.0008,44.9183,4.2665,11.0782,9.9606,22999.68,5749.92,5749.92,466433.5104,116608.3776
601519.SH,20171130,4.66,0.2106,0.474,,,,6.7311,8.193,8.5122,198770.0,198770.0,88290.7343,926268.2,926268.2
002094.SZ,20171130,18.04,0.6888,1.0729,,38.209,15.6612,2.861,2.9867,1.7827,39254.8392,35209.8217,22603.3601,708157.2992,635185.1835
603067.SH,20171130,13.65,1.8708,1.8708,,37.6973,45.9916,2.7856,3.4339,2.715,22000.0,11114.95,11114.95,300300.0,151719.0675
601677.SH,20171130,14.06,0.9205,1.5394,,26.8111,20.5625,1.7284,0.9649,0.7507,51329.6,47772.92,28567.7053,721694.176,671687.2552
300379.SZ,20171130,14.17,2.0438,2.0992,,35.2497,37.6173,2.19,12.0638,12.4964,27703.1708,18753.3442,18258.476,392553.9302,265734.8873
000685.SZ,20171130,10.24,0.2327,0.5019,,15.6908,14.3578,1.268,10.3276,9.5414,147511.1351,125322.9908,58100.8488,1510514.0234,1283307.4258
300268.SZ,20171130,28.6,2.8661,2.9329,,651.8037,609.8849,18.8642,558.2032,22.5997,13400.0,9838.6806,9614.5506,383240.0,281386.2652
600202.SH,20171130,7.35,1.294,1.9615,,,,4.3854,10.6365,10.2121,38334.0672,38334.0672,25289.1287,281755.3939,281755.3939
600675.SH,20171130,5.97,0.2437,0.3857,,17.0054,17.1619,3.1423,0.7851,1.2154,186705.9398,186705.9398,117992.0992,1114634.4606,1114634.4606
603018.SH,20171130,29.26,0.1586,0.1777,,29.4897,23.3573,3.0603,3.1081,2.5218,21151.76,20800.0,18561.488,618900.4976,608608.0
002795.SZ,20171130,16.52,1.9988,1.9988,,49.0369,53.7672,5.4832,7.2457,6.3472,20000.0,6375.0,6375.0,330400.0,105315.0
603038.SH,20171130,49.01,3.1254,3.1254,,33.2471,33.6303,3.5363,5.8512,5.3341,6715.3,1670.0,1670.0,329116.853,81846.7
002030.SZ,20171130,18.84,0.4205,0.6278,,128.0165,138.8905,8.2622,8.4695,8.4896,72492.0472,69437.3658,46508.1869,1365750.1692,1308199.9717
300239.SZ,20171130,5.44,0.5036,0.7625,,130.3979,115.2141,3.4681,7.9191,7.5882,46087.4108,44492.6265,29381.5717,250715.5148,242039.8882
601333.SH,20171130,5.03,0.2889,0.5402,,30.762,37.2193,1.2557,2.0619,2.0037,708353.7,565223.7,302278.57,3563019.111,2843075.211
300583.SZ,20171130,43.39,1.1812,1.1812,,45.7444,62.5987,2.8178,8.1448,6.7065,10666.6667,2666.6667,2666.6667,462826.6681,115706.6681
300636.SZ,20171130,32.95,2.3665,2.3665,,46.1886,36.1647,4.3209,10.7117,8.994,8129.8,2000.0,2000.0,267876.91,65900.0
000411.SZ,20171130,20.14,0.2781,0.5902,,48.1077,47.7077,5.1102,0.2421,0.2269,20744.9946,20731.4496,9768.7754,417804.1912,417531.3949
603238.SH,20171130,23.97,2.0518,2.0518,,48.409,58.6196,3.7701,5.4704,5.5193,12000.0,3000.0,3000.0,287640.0,71910.0
603386.SH,20171130,15.76,5.4989,5.4989,,52.6207,48.9619,5.3059,3.977,3.4215,20180.0,5050.0,5050.0,318036.8,79588.0
601158.SH,20171130,6.45,0.047,0.411,,28.9861,23.6518,2.2737,6.9516,7.5964,480000.0,480000.0,54903.9311,3096000.0,3096000.0
600539.SH,20171130,17.02,0.3503,0.6844,,,123.1746,8.2497,20.6072,28.3394,23000.0,23000.0,11773.3381,391460.0,391460.0
000021.SZ,20171130,9.08,0.8698,1.8056,,62.3021,35.1649,2.2991,0.8865,0.8775,147125.9363,146927.0814,70778.1582,1335903.5016,1334097.8991
603360.SH,20171130,23.01,1.4568,1.4568,,31.2206,28.6363,4.5881,7.8785,7.8298,13334.0,3334.0,3334.0,306815.34,76715.34
000875.SZ,20171130,3.99,0.2658,0.3253,,658.5042,,1.1339,1.9443,1.7435,214631.398,129463.63,105782.1171,856379.278,516559.8837
002663.SZ,20171130,5.39,0.5113,0.5945,,92.0321,75.443,2.1001,3.5607,2.9498,179589.0452,117381.1766,100954.2932,967984.9536,632684.5419
002572.SZ,20171130,37.08,0.7183,0.8275,,51.5659,41.1763,8.2687,7.5587,5.8938,92342.631,61976.331,53795.081,3424064.7575,2298082.3535
300153.SZ,20171130,12.87,0.782,1.5758,,84.9925,75.6118,4.2828,5.0525,3.9093,32000.0,31956.2581,15859.2981,411840.0,411277.0417
000861.SZ,20171130,3.29,0.3069,0.63,,35.872,38.4756,2.3311,3.7127,3.5209,224987.3944,187211.4441,91203.7604,740208.5276,615925.6511
002083.SZ,20171130,6.54,0.4767,0.7018,,15.7031,12.8236,1.8329,1.3573,1.2957,90800.0005,86517.6181,58765.2185,593832.0033,565825.2224
300658.SZ,20171130,32.09,1.269,1.269,,35.8868,37.4152,4.4488,5.3549,4.2364,10000.0,2500.0,2500.0,320900.0,80225.0
603197.SH,20171130,52.24,3.3967,3.3967,,46.2198,35.5121,5.0152,3.6442,3.0801,11710.08,2928.0,2928.0,611734.5792,152958.72
600196.SH,20171130,36.66,0.5847,1.1473,,32.6004,30.0082,3.5826,6.2528,5.3963,249513.1045,190980.9064,97323.3574,9147150.411,7001360.0286
002329.SZ,20171130,7.07,0.8281,1.0348,,20.3787,21.8477,2.1088,2.4207,2.5005,83764.0035,56637.7781,45326.6545,592211.5047,400429.0912
600757.SH,20171130,6.85,0.5529,1.2685,,14.039,11.7641,1.3848,0.6029,0.8194,121365.0273,121349.7103,52890.0866,831350.437,831245.5156
000615.SZ,20171130,10.61,6.6173,6.6565,,76.2456,72.249,5.1943,1.9633,1.9464,78505.7049,35428.935,35220.195,832945.529,375901.0004
002420.SZ,20171130,5.59,0.3238,0.4655,,116.7181,,1.5165,0.3895,0.3958,40100.0,39171.7442,27249.2042,224159.0,218970.0501
