ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
600117.SH,20111230,6.51,0.4191,0.836,,20.6986,11.4393,1.6762,0.6843,0.5952,74121.9252,74121.9252,37155.0068,482533.7331,482533.7331
600118.SH,20111230,20.4,0.446,0.9162,,68.6363,59.4437,7.4555,4.7452,4.0389,70507.598,70507.598,34322.9462,1438354.9992,1438354.9992
600119.SH,20111230,5.24,0.2292,0.5277,,123.8365,64.4258,2.6318,1.0503,1.0512,30740.0,30740.0,13351.2609,161077.6,161077.6
600120.SH,20111230,7.13,0.3053,0.57,,17.3821,11.9406,1.2757,0.7599,0.5196,50547.3454,50547.3454,27074.0382,360402.5727,360402.5727
002366.SZ,20111230,9.48,0.7015,2.0866,,19.969,20.1966,1.7588,1.9495,1.8402,13350.0,7329.1387,2463.8313,126558.0,69480.2349
002367.SZ,20111230,13.83,0.7981,0.7991,,29.1287,25.0398,2.2215,3.2037,2.4458,25248.0,11398.95,11385.81,349179.84,157647.4785
002368.SZ,20111230,17.99,0.7656,1.0548,,40.7878,33.8955,3.5089,1.8113,1.5345,19757.84,9519.5,6909.4653,355443.5416,171255.805
002369.SZ,20111230,16.65,2.4412,2.4412,,45.0296,35.2886,4.5067,3.8252,2.8142,20000.0,6421.356,6421.356,333000.0,106915.5774
002370.SZ,20111230,8.11,0.4829,0.4829,,39.3479,34.9031,2.2392,3.8014,3.7808,20400.0,7808.1,7808.1,165444.0,63323.691
002371.SZ,20111230,48.0,0.7261,0.8132,,50.016,32.4771,4.0801,5.0059,3.7196,8450.0,2432.95,2172.3,405600.0,116781.6
002372.SZ,20111230,15.55,0.749,0.749,,23.1626,18.3542,2.3507,3.1544,2.4658,25340.0,6340.0,6340.0,394037.0,98587.0
002373.SZ,20111230,13.49,1.7519,2.319,,39.4636,,1.5492,1.3269,1.4819,6853.0,4831.7017,3650.1857,92446.97,65179.6559
002374.SZ,20111230,10.09,1.4751,2.475,,28.6064,87.8742,1.7102,2.1686,1.5492,8560.0,3880.0,2312.5072,86370.4,39149.2
002375.SZ,20111230,21.85,1.294,1.294,,35.1605,24.183,3.472,2.0545,1.4296,42200.0,14599.99,14599.99,922070.0,319009.7815
300252.SZ,20111230,13.25,2.676,2.676,,25.4356,24.0218,2.2453,2.8133,2.3097,10800.0,2700.0,2700.0,143100.0,35775.0
300253.SZ,20111230,42.98,6.7055,6.7055,,65.054,51.4386,4.9906,19.1253,14.3148,5350.0,1350.0,1350.0,229943.0,58023.0
